fcon1,fcon2,fcon3,fcon4,fcon5,fcon6,fcon7,fcon8,fcon9,fcon10,fcon11,fcon12,fcon13,fagr1,fagr2,fagr3,fagr4,fagr5,fagr6,fagr7,fagr8,fagr9,fagr10,fagr11,fagr12,fagr13,fope1,fope2,fope3,fope4,fope5,fope6,fope7,fope8,fope9,fope10,fope11,fope12,fope13,fext1,fext2,fext3,fext4,fext5,fext6,fext7,fext8,fext9,fext10,fext11,fext12,fext13,fneg1,fneg2,fneg3,fneg4,fneg5,fneg6,fneg7,fneg8,fneg9,fneg10,fneg11,fneg12,fneg13,GPA,health1,health2,health3,health4,health5,health6,health7,health8,health9,health10,health11,health12,health13,health14,health15,health16,health17,health18,health19,health20,health21,health22,health23,health24,health25,health26,work1,work2,work3,work4,work5,work6,work7,work8,work9,work10,work11,work12,work13,work14,work15,work16,work17
1,4,5,2,5,4,1,2,1,1,4,5,5,4,1,4,1,4,5,2,1,4,5,2,1,5,1,4,1,4,5,2,5,1,2,5,4,1,5,1,4,5,2,5,5,2,1,4,5,2,1,5,1,4,1,5,4,5,1,2,1,4,1,5,4,4.0,5,4,5,5,4,5,5,5,4,5,5,5,4,5,5,4,1,1,1,2,5,1,2,4,5,5,5,4,5,4,5,5,4,5,5,4,5,5,4,5,5,4,5
2,5,4,3,5,3,2,1,3,3,4,5,4,2,1,4,2,5,4,1,3,3,4,1,3,2,4,4,2,5,2,2,4,2,2,5,5,3,2,2,5,4,3,4,4,2,3,4,4,1,2,3,1,4,2,5,5,4,2,4,4,4,1,4,3,4.0,4,5,1,4,2,3,5,5,5,4,5,5,4,2,4,3,1,3,2,2,4,1,1,4,1,3,3,5,3,4,5,4,5,4,5,3,5,4,2,4,5,4,5
5,5,5,5,5,3,5,5,5,5,5,5,5,4,5,1,1,4,5,5,4,5,1,5,4,4,2,5,2,5,5,1,5,2,1,4,4,2,3,4,3,5,2,4,4,2,2,5,3,2,1,3,5,5,1,4,5,5,4,2,5,4,1,2,5,3.6,5,4,5,5,5,4,4,4,5,4,4,5,4,5,4,4,2,1,5,2,4,2,1,1,2,1,4,5,4,5,4,4,5,4,4,5,4,5,5,4,4,4,5
5,4,4,4,4,5,1,2,2,1,4,4,3,4,3,3,1,5,4,2,2,5,4,2,2,3,2,4,2,4,4,2,5,2,2,4,4,2,3,2,4,4,1,4,4,2,2,4,4,2,2,4,2,3,2,4,2,4,2,2,2,3,2,4,3,3.2,4,4,4,4,4,4,2,4,4,4,4,2,4,4,3,4,2,2,2,2,4,4,2,3,4,3,4,4,4,3,3,4,3,4,4,4,4,3,3,4,4,3,4
1,4,3,1,4,5,3,1,2,1,4,5,5,5,2,3,1,4,3,1,1,4,3,1,1,4,2,5,3,5,4,3,5,2,3,5,4,3,5,1,4,3,1,4,3,1,2,3,5,3,1,5,1,4,3,5,4,3,1,2,3,5,1,5,5,3.0,5,4,3,5,3,5,4,5,3,5,5,4,3,5,3,5,1,3,1,2,3,1,1,3,4,5,5,4,3,5,4,5,4,3,4,5,4,5,3,5,4,5,4
3,4,2,2,4,3,3,4,2,NA,3,4,4,4,4,4,2,3,4,4,3,4,4,2,1,3,NA,3,2,3,4,2,3,2,2,2,4,3,4,2,2,3,2,2,4,3,4,4,4,3,4,4,4,4,3,2,4,4,3,4,2,3,4,4,3,NA,3,3,4,2,3,2,4,4,2,3,4,2,4,2,2,4,4,3,3,3,4,4,4,3,2,3,4,2,4,3,4,3,4,4,3,4,2,3,4,2,4,3,4
1,5,5,1,5,4,1,2,1,1,4,5,5,5,1,5,2,4,5,1,1,5,5,2,2,5,1,5,1,4,4,2,4,1,1,4,5,1,3,1,4,5,1,4,4,1,1,5,5,3,1,5,3,3,3,4,5,4,2,2,2,4,2,4,3,4.0,5,5,5,5,5,5,5,4,5,5,4,3,3,5,4,5,1,2,1,1,5,1,1,3,5,5,5,5,5,3,5,4,5,5,4,4,5,4,5,5,3,4,5
2,2,2,3,4,3,3,2,3,4,4,4,5,2,4,3,5,2,4,2,5,3,3,3,4,3,4,5,4,4,2,3,3,1,2,4,3,5,4,3,2,1,2,5,1,4,3,1,3,1,5,4,5,3,2,2,3,3,1,2,4,2,4,3,4,4,4,3,4,3,3,4,3,1,3,2,4,5,4,2,3,5,3,4,5,3,3,1,3,1,1,3,4,5,2,2,3,4,3,5,3,3,2,3,2,1,4,3,1
2,2,2,3,3,4,4,3,2,2,3,3,3,4,3,3,4,4,4,4,4,3,3,4,2,3,4,3,3,3,4,2,4,4,3,3,4,3,3,2,2,2,2,2,2,2,3,3,3,2,2,2,2,2,3,2,4,4,2,3,2,3,2,3,4,3.08,2,4,2,2,3,3,2,2,4,4,3,2,2,3,2,3,3,3,4,3,4,4,4,4,2,2,2,3,4,3,4,4,3,4,3,3,3,4,4,4,3,3,3
2,4,3,3,5,3,3,2,2,2,4,4,4,4,2,5,2,4,5,2,3,4,5,2,1,3,1,4,3,4,5,2,5,1,2,4,4,1,4,2,5,5,NA,NA,4,1,NA,5,4,2,1,3,2,5,2,4,5,4,2,2,2,5,1,5,5,3,5,4,4,3,4,5,4,4,5,4,4,4,4,3,3,5,2,1,3,2,5,2,1,4,4,4,4,3,4,4,4,5,4,4,5,5,4,4,3,5,4,4,4
5,5,5,4,4,5,5,5,4,4,5,4,4,5,5,4,5,4,4,5,5,4,4,5,4,3,4,5,5,5,4,5,5,5,5,4,5,5,5,4,5,4,4,5,4,4,5,4,4,5,5,4,2,1,4,2,1,1,1,2,1,2,1,2,4,NA,5,4,5,5,4,4,5,5,2,5,4,1,5,5,4,2,5,1,5,5,5,3,5,1,5,1,4,4,5,4,5,4,3,5,5,4,5,4,5,4,4,5,4
2,4,4,2,4,4,2,2,2,2,3,4,4,4,2,4,2,4,4,2,2,4,4,2,2,4,2,4,2,4,4,2,4,2,2,4,4,2,3,2,4,4,2,4,4,2,2,4,4,2,2,3,2,4,2,4,4,4,2,2,2,4,2,4,3,3.5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,2,2,2,4,2,2,2,2,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
1,4,5,1,4,5,2,1,2,1,4,5,5,4,1,4,1,4,5,2,2,5,NA,2,1,3,2,5,2,5,4,1,4,1,2,5,4,2,5,2,5,4,2,5,4,1,2,4,5,2,1,3,2,5,2,5,4,4,1,2,2,4,2,4,5,NA,4,5,4,5,4,5,4,4,5,4,4,5,4,5,4,5,2,1,2,2,4,2,1,4,5,4,4,5,4,5,4,5,4,4,5,5,4,5,4,5,4,4,4
1,5,5,1,5,5,2,1,2,1,5,4,4,5,1,5,1,5,5,1,1,5,5,1,1,4,1,5,1,5,5,1,5,1,1,5,5,1,4,1,5,5,1,5,5,1,1,5,5,1,1,5,1,5,1,5,5,5,2,2,1,4,1,5,5,3.5,5,5,4,5,4,5,4,5,5,5,5,4,5,5,4,4,2,2,2,2,5,2,2,5,4,5,5,5,4,4,5,4,4,4,4,5,5,5,4,5,5,4,5
1,4,5,1,4,5,2,1,2,1,4,5,5,4,1,4,1,4,5,2,2,5,4,1,1,4,1,4,1,4,4,1,4,1,2,5,4,1,4,1,4,5,2,4,5,2,1,4,4,1,2,5,1,4,1,4,5,4,1,2,1,4,1,4,4,4.0,5,5,4,5,5,5,4,5,4,5,4,5,5,4,5,4,1,1,1,1,5,1,2,5,4,5,5,4,5,4,5,4,4,5,4,5,4,5,4,5,4,4,5
5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,5,5,5,5,5,5,5,4,5,5,5,1,4,5,5,5,5,5,5,5,5,5,4,4,5,5,5,5,2,5,5,5,5,5,4,1,1,5,1,1,1,1,1,1,2,1,1,1,3.5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,2,1,4,1,5,5,5,5,5,5,5,5,5,5,5,2,5,5,5,5,5,5,2,5,5,5,5
2,5,4,4,4,5,4,2,2,4,5,5,3,4,4,4,2,4,4,1,2,4,4,4,2,3,2,2,2,2,4,2,5,4,2,4,5,4,3,2,2,4,4,4,4,4,2,4,4,2,4,3,2,4,4,4,4,4,4,2,4,4,4,5,3,3,5,4,2,2,4,4,2,3,4,4,3,4,5,4,2,4,4,2,5,4,4,5,4,1,4,2,4,2,5,4,4,4,2,4,5,5,5,4,2,2,4,3,4
1,4,5,2,4,5,2,1,1,1,4,5,4,5,2,5,2,5,4,2,1,4,5,1,2,5,1,5,2,4,5,2,4,1,2,5,4,2,5,1,4,4,1,5,4,1,2,5,4,1,2,2,1,5,1,5,4,4,1,2,1,4,1,4,5,NA,5,4,5,5,4,5,4,5,4,5,4,5,5,5,4,5,2,2,1,2,5,2,2,5,4,4,5,4,5,4,4,5,4,4,5,5,4,4,5,4,5,4,5
1,4,4,1,4,5,3,2,1,2,5,4,5,5,2,5,2,3,4,1,2,5,4,1,2,5,1,4,2,5,4,1,4,1,2,5,4,1,5,2,5,4,1,4,4,1,2,5,4,1,2,5,3,4,1,4,4,5,3,1,1,3,2,5,5,3.0,4,5,4,4,5,5,3,4,3,5,5,4,5,5,4,4,1,2,2,1,4,1,2,4,4,4,5,4,3,4,5,5,3,5,4,4,5,4,4,5,4,4,4
4,3,4,4,4,3,4,4,4,4,3,3,4,3,3,4,3,4,3,4,3,4,4,3,4,3,2,4,2,4,3,2,4,4,2,3,4,3,4,2,3,4,4,3,4,3,3,4,3,2,4,3,2,4,3,3,4,2,1,3,3,4,3,4,4,3,5,2,1,1,2,4,3,4,5,5,5,4,5,5,4,4,2,3,3,2,5,2,3,4,4,5,4,3,3,4,4,5,3,4,4,5,4,3,4,4,3,4,5
4,4,4,4,4,4,5,4,5,4,4,4,5,2,2,4,3,2,2,2,2,3,3,2,2,3,2,3,3,4,4,2,5,2,2,4,4,4,5,3,5,2,3,2,3,2,2,4,3,4,4,3,1,5,2,4,4,4,4,3,4,4,4,4,1,3.8,5,5,5,5,5,4,4,3,5,5,3,5,5,5,5,5,2,2,5,5,5,5,1,5,5,5,3,5,2,5,2,5,4,5,2,5,5,4,5,5,1,2,4
2,4,5,2,NA,3,1,2,2,NA,NA,3,4,5,2,4,1,4,4,1,2,4,5,1,1,4,1,4,1,4,4,1,5,1,1,5,5,2,5,2,5,4,1,4,5,2,1,5,4,2,1,3,2,4,1,4,5,4,1,1,1,4,1,NA,4,NA,5,4,5,5,4,5,4,4,5,4,4,4,5,4,5,3,3,1,2,1,4,2,1,5,4,5,4,4,4,5,5,5,4,5,4,5,4,5,4,5,4,5,4
3,4,4,3,4,4,3,4,3,4,4,4,3,4,2,2,2,5,4,4,2,4,4,2,2,4,2,4,3,4,4,2,4,2,2,4,4,2,3,3,4,3,3,4,4,3,2,5,3,2,2,3,2,5,2,4,5,4,4,3,4,4,3,5,3,3.5,4,4,4,3,4,4,3,4,4,4,3,3,4,4,4,4,3,2,3,2,4,3,2,4,5,3,4,3,4,3,3,4,4,4,4,5,4,4,4,4,3,4,4
2,5,4,1,4,5,2,4,2,2,5,5,4,4,1,2,1,4,5,2,2,5,4,4,1,3,2,5,2,5,4,4,5,2,2,5,4,1,4,1,4,5,4,5,4,2,4,4,5,2,1,4,1,2,2,5,4,4,1,4,5,4,1,5,4,NA,4,4,4,5,4,2,4,5,5,4,2,4,5,2,4,5,1,1,2,2,5,5,2,2,4,1,3,5,4,2,4,5,4,4,5,2,4,5,4,4,5,4,5
3,3,4,3,3,3,3,3,2,3,3,3,3,3,4,3,4,3,2,4,3,2,2,3,3,3,3,2,3,2,3,4,3,4,3,2,2,4,4,2,4,4,1,4,5,1,2,5,5,2,2,4,3,4,3,3,1,3,4,3,4,3,2,2,3,3.95,4,3,3,5,4,4,4,5,4,4,4,4,4,4,4,4,2,2,2,2,4,2,2,5,4,4,4,2,3,4,3,4,3,4,5,5,5,2,4,5,4,4,5
2,5,4,1,4,4,1,1,2,1,4,5,3,5,1,4,1,4,5,2,1,4,5,2,1,3,1,4,1,4,5,2,4,1,2,5,4,1,5,2,5,4,1,4,5,2,1,4,5,1,2,3,1,4,1,4,5,4,1,2,1,4,1,4,3,4.0,4,5,4,5,4,4,5,5,4,5,5,4,5,5,4,4,1,1,2,1,4,1,2,5,4,5,4,5,4,5,5,4,5,4,5,4,5,4,5,4,5,4,5
2,3,5,2,5,5,3,1,2,3,5,4,3,4,1,3,2,5,5,3,2,4,5,2,1,4,2,5,2,5,4,1,4,1,3,5,4,1,4,2,5,3,2,5,4,2,1,5,5,3,1,4,2,5,3,5,3,5,1,2,1,3,2,4,4,NA,4,5,4,4,5,4,4,4,5,5,4,5,4,5,4,5,2,2,1,2,5,3,2,3,4,5,4,5,4,5,3,4,4,5,4,4,3,5,5,2,5,3,4
2,5,4,1,4,4,1,2,1,3,4,4,4,4,1,4,2,4,4,3,2,4,4,1,2,3,2,5,2,5,3,2,4,1,3,3,3,2,3,3,4,4,2,5,5,2,2,4,3,1,3,4,2,5,1,4,5,3,1,2,4,4,3,2,4,3.5,4,4,4,4,4,5,3,4,4,2,3,3,4,4,4,5,3,2,2,2,3,1,2,4,5,4,3,5,4,5,4,5,4,4,4,5,5,4,4,5,4,4,5
2,5,4,4,4,4,1,1,4,5,2,2,4,5,5,3,1,4,5,2,1,4,5,1,2,4,1,5,4,4,2,2,4,1,1,4,4,4,4,4,5,4,4,5,5,2,1,4,4,1,1,4,2,2,3,4,4,2,2,1,4,4,1,4,3,2.3,4,5,4,4,5,4,4,5,1,4,5,2,5,4,1,5,4,1,4,4,5,2,1,5,2,2,2,4,4,4,2,5,4,5,5,4,4,4,5,4,4,5,5
2,5,5,2,5,4,3,2,1,2,3,4,3,4,2,5,1,5,5,3,4,5,4,1,2,4,2,5,4,5,4,4,4,4,2,4,3,4,5,1,4,4,1,5,4,1,2,5,5,2,4,3,2,5,2,4,5,4,2,1,2,5,2,5,4,NA,4,4,5,5,NA,4,5,4,5,5,5,5,5,4,4,5,2,1,2,2,5,2,2,2,2,2,4,4,2,2,4,5,4,5,5,5,2,4,4,4,3,2,4
2,4,4,2,4,4,1,1,1,2,4,4,3,4,2,4,2,5,5,1,1,5,5,2,2,3,2,4,2,4,4,1,5,1,1,5,4,2,3,2,4,5,1,5,5,2,2,4,4,2,1,3,2,4,1,5,4,4,2,2,2,4,2,5,3,4.0,4,4,4,4,4,4,5,5,5,5,4,4,4,4,4,5,1,1,1,2,4,2,2,4,4,4,5,5,5,5,5,4,4,4,4,4,5,5,5,5,4,4,4
1,4,5,2,5,4,1,2,1,2,5,4,5,5,2,5,2,5,4,1,1,4,5,2,1,3,1,4,1,4,5,2,5,2,1,4,5,2,5,2,5,4,1,4,5,2,1,4,5,1,2,5,2,5,2,5,4,5,2,1,2,5,2,5,3,4.0,4,5,4,5,5,4,5,4,5,4,5,4,5,4,5,4,1,2,1,1,4,1,2,5,4,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5
1,4,5,1,4,5,2,1,2,1,5,4,5,4,2,4,1,3,4,2,1,4,4,1,2,5,2,5,2,5,4,1,4,1,4,4,3,1,4,2,2,4,5,2,4,5,2,2,2,3,3,5,2,3,3,3,3,3,2,3,2,4,3,4,3,2.5,4,5,4,5,4,5,3,5,3,5,3,5,3,4,4,5,2,2,5,2,5,3,3,4,5,4,5,4,5,4,5,3,3,5,5,5,5,3,4,5,4,5,5
2,3,3,2,4,4,3,2,3,2,4,3,4,4,3,3,1,4,4,3,2,4,3,2,1,5,4,4,2,3,3,3,4,1,3,4,2,2,5,3,4,3,1,4,3,4,3,4,5,1,2,4,3,4,2,4,5,5,3,2,1,3,2,5,3,NA,5,5,5,5,4,5,4,3,4,5,4,5,3,4,5,4,2,1,1,1,3,2,2,4,5,4,4,4,3,4,4,3,4,4,3,4,3,4,3,4,5,4,3
5,5,5,5,5,5,5,5,3,2,5,5,3,5,2,1,5,5,5,5,5,4,3,2,2,4,5,4,5,4,5,5,5,5,5,5,5,5,5,5,5,5,3,5,4,1,4,5,5,4,4,4,1,2,2,4,1,3,2,2,3,2,2,4,3,3.5,5,2,4,3,2,5,5,4,2,3,1,4,1,5,5,2,2,2,4,3,5,5,5,1,5,5,2,2,5,5,5,4,5,5,3,4,4,2,4,1,1,4,5
1,4,5,1,4,4,2,2,1,1,4,4,4,5,1,4,1,5,5,1,2,5,4,1,1,4,2,4,1,5,5,1,5,1,2,4,4,1,5,1,5,5,1,5,5,1,1,5,5,1,1,5,1,5,1,5,4,5,1,1,1,5,1,5,5,3.5,5,5,4,4,5,5,5,5,5,4,4,5,5,5,5,5,1,1,1,2,5,1,2,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
1,5,5,NA,4,4,2,1,2,1,5,5,5,5,1,5,1,4,5,2,1,4,5,1,2,5,1,4,1,4,5,1,5,1,2,5,5,2,5,1,5,5,2,5,5,2,1,4,5,1,2,5,1,5,1,5,5,5,1,1,1,5,2,4,5,4.0,5,5,4,5,4,5,5,5,5,5,5,4,5,4,5,5,2,1,1,1,4,1,2,5,4,5,5,5,4,5,5,5,5,5,4,5,5,5,4,4,5,5,5
5,4,5,5,5,5,5,5,4,5,5,5,4,4,5,4,1,3,4,5,5,4,3,4,4,3,3,3,2,5,4,3,4,3,4,4,5,5,3,5,5,5,5,4,4,5,5,5,5,2,5,5,1,1,2,1,1,1,1,1,2,1,1,1,1,3.5,4,4,3,4,5,3,5,3,4,3,5,5,5,4,4,3,5,1,5,5,5,5,3,2,5,5,1,4,5,3,5,4,1,5,4,5,5,3,5,4,1,4,5
4,4,4,5,5,4,4,4,5,4,4,2,4,4,3,2,2,4,4,2,4,3,4,3,4,4,2,4,2,4,4,2,4,3,4,2,4,4,4,4,4,4,3,4,4,2,2,4,4,4,4,4,1,2,2,4,3,2,2,2,1,4,2,4,4,3.7,4,4,3,2,5,4,4,4,4,4,5,5,4,5,3,4,4,2,4,4,4,5,5,5,4,5,4,3,4,4,4,4,2,4,4,5,4,2,4,4,2,2,4
5,5,5,5,5,5,5,5,5,5,5,5,4,4,5,5,1,5,5,5,5,5,4,5,5,4,5,5,5,5,5,1,5,5,1,3,5,5,4,2,3,5,4,4,5,5,5,5,5,2,5,3,2,2,2,2,2,1,2,2,2,2,2,3,3,NA,5,5,1,1,1,4,1,4,1,1,1,3,5,4,5,1,5,2,5,5,5,5,5,1,5,1,1,1,3,2,3,4,4,5,4,5,5,5,4,3,5,4,5
2,5,5,4,5,5,5,4,5,4,5,4,5,4,2,4,4,4,5,2,4,5,5,2,4,4,2,4,4,5,5,2,5,5,5,4,4,5,3,1,4,5,4,5,5,1,4,5,5,1,2,4,1,2,4,2,1,2,1,1,2,5,1,5,5,NA,5,4,5,4,5,5,5,5,4,5,4,5,5,5,5,4,1,1,1,2,5,2,2,5,4,4,5,5,4,5,5,5,2,5,5,5,5,4,2,5,4,5,5
4,4,4,4,4,4,4,4,4,5,4,5,3,4,4,5,2,4,5,4,4,5,4,5,4,3,4,4,2,4,4,1,5,1,2,1,4,2,2,4,4,5,4,4,4,4,4,5,5,5,5,4,2,1,5,2,2,2,2,1,1,1,1,2,3,3.8,4,5,5,4,4,4,4,4,4,5,4,4,4,4,4,4,2,2,2,2,4,2,2,4,4,4,4,5,5,5,4,4,4,4,5,5,5,5,5,5,5,5,4
2,4,4,1,4,5,2,1,2,3,4,5,3,4,2,5,1,5,3,2,2,5,3,2,2,5,2,4,2,3,5,1,5,2,3,2,5,2,4,2,4,5,1,2,3,2,1,4,5,2,3,4,2,5,2,5,4,5,1,3,2,5,3,4,4,NA,5,5,4,5,5,5,4,4,4,4,5,4,4,5,4,5,1,2,1,1,4,2,2,2,2,2,4,4,4,5,4,5,4,5,3,4,5,5,5,4,4,5,4
2,4,4,2,4,4,2,2,2,2,5,4,3,4,2,4,1,4,5,NA,2,4,5,2,2,3,2,4,2,5,4,2,5,2,2,4,4,1,3,2,4,4,1,4,4,2,2,5,4,1,2,4,2,4,2,5,4,4,1,2,1,4,2,4,3,4.0,4,4,4,5,4,4,4,5,4,4,4,4,4,5,4,4,1,2,2,2,4,1,2,4,4,5,4,4,4,4,5,4,5,4,5,4,5,4,5,4,5,4,5
2,3,4,1,4,5,4,3,1,1,5,4,4,5,1,4,3,4,5,3,3,5,3,3,2,5,1,4,1,5,3,2,4,2,1,5,3,2,5,2,4,4,3,5,3,3,1,3,5,2,2,5,2,3,2,5,5,3,2,3,3,5,2,2,4,4,5,2,3,4,4,4,3,5,4,3,5,5,3,3,5,3,3,1,2,2,3,2,3,3,3,4,3,3,2,4,4,3,4,2,3,4,4,3,3,4,2,4,3
1,4,5,3,4,5,4,1,2,1,3,5,4,3,1,4,1,3,5,2,1,3,5,2,1,2,3,4,1,3,5,2,5,4,1,4,5,4,5,2,5,2,1,4,5,3,1,4,5,4,1,4,4,5,2,5,2,5,2,1,3,4,1,3,4,3.5,4,5,2,5,4,5,3,4,5,3,5,4,5,3,5,3,1,3,1,1,4,1,3,5,4,4,4,5,2,5,4,5,3,5,4,5,3,5,4,5,3,5,4
2,5,5,1,5,5,1,1,1,1,5,5,4,4,2,5,2,5,4,2,2,5,4,2,1,4,3,5,2,5,4,1,4,1,1,4,5,2,5,2,4,5,1,4,4,1,3,5,4,1,2,4,2,NA,2,5,4,3,2,1,2,4,2,4,5,3.0,4,5,4,4,5,4,4,5,4,4,5,4,5,4,5,5,2,2,2,1,4,2,1,4,4,3,4,5,4,4,5,4,4,5,5,5,5,4,4,5,5,4,4
5,NA,5,5,5,5,5,5,5,5,4,5,5,4,5,4,1,5,4,5,5,4,3,4,3,4,4,3,2,4,3,4,5,3,5,5,5,5,3,5,5,5,5,4,5,1,5,5,1,5,5,5,2,2,4,3,1,1,1,1,2,2,1,1,3,3.5,4,5,3,5,5,3,5,4,4,3,5,5,5,4,4,3,5,5,5,5,5,5,2,3,5,5,4,4,4,5,5,4,2,4,5,5,5,3,4,4,3,3,4
2,4,5,1,4,4,2,2,2,2,4,4,3,4,2,4,2,5,5,1,2,4,4,2,2,3,2,4,2,5,4,2,4,1,1,4,4,2,3,2,5,5,1,5,5,1,1,5,5,1,2,3,2,4,2,4,5,5,1,1,1,5,1,5,3,4.0,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,1,1,1,1,5,1,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
